r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
39.282578,100,2.184457,0.71,3.0,39.28,0.18,82.0,363.59,4.36,29.2,0.24,0.0
23.257948,100,2.544074,0.55,2.0,23.26,0.23,77.0,342.44,10.01,21.41,0.15,0.4
40.14257,100,2.948289,0.79,3.0,40.14,0.15,85.0,435.49,8.07,25.45,0.08,0.34
30.675108,100,3.218336,0.65,2.0,30.68,0.2,80.0,472.72,7.06,31.32,0.13,0.39
24.65071,100,3.496973,0.63,1.0,24.65,0.18,82.0,482.79,10.83,17.13,0.28,0.26
32.147892,100,3.803169,0.65,4.0,32.15,0.21,79.0,338.68,6.98,24.38,0.25,0.26
15.013944,100,4.154915,0.7,0.0,15.01,0.29,71.0,495.54,6.98,24.79,0.21,0.29
40.400948,100,4.441623,-1.0,5.0,40.4,0.21,79.0,293.28,2.8,34.02,0.18,0.34
26.923813,100,4.687127,0.7,3.0,26.92,0.2,80.0,475.15,8.8,27.54,0.19,0.27
37.284138,100,4.922351,0.7,1.0,37.28,0.21,79.0,375.64,4.74,32.59,0.04,0.23
38.02163,100,5.134547,0.65,4.0,38.02,0.15,85.0,400.32,7.4,28.17,0.19,0.23
40.165524,100,5.31196,0.75,0.0,40.17,0.21,79.0,329.51,2.56,33.8,0.13,0.2
21.871391,100,5.489156,0.46,2.0,21.87,0.23,77.0,455.73,8.01,22.3,0.28,0.17
46.893917,100,5.693559,0.8,3.0,46.89,0.16,84.0,206.34,7.51,20.58,0.1,0.17
38.58575,100,5.898315,0.8,4.0,38.59,0.2,80.0,354.07,4.43,29.2,0.18,0.19
40.95598,100,6.070156,0.69,0.0,40.96,0.17,83.0,408.79,4.89,31.17,0.14,0.19
41.522934,100,6.2543,0.69,1.0,41.52,0.17,83.0,358.75,5.63,26.7,0.21,0.16
33.56902,100,6.470727,0.76,0.0,33.57,0.2,80.0,280.6,8.58,21.32,0.21,0.18
27.09355,100,6.642491,0.63,1.0,27.09,0.19,81.0,386.48,10.96,17.47,0.16,0.21
41.232624,100,6.841588,0.8,3.0,41.23,0.18,82.0,262.8,6.9,29.8,0.14,0.16
21.98427,100,7.023205,-1.0,5.0,21.98,0.2,80.0,397.14,13.1,12.32,0.17,0.19
25.82418,100,7.201327,0.73,1.0,25.82,0.22,78.0,318.85,10.2,21.65,0.19,0.17
12.7695055,100,7.386639,0.46,2.0,12.77,0.24,76.0,388.8,14.34,11.89,0.29,0.17
41.78709,100,7.594741,-1.0,5.0,41.79,0.17,83.0,426.44,3.69,35.62,0.14,0.17
31.681786,100,7.824612,0.61,0.0,31.68,0.15,85.0,450.89,9.91,17.34,0.22,0.2
34.435314,100,8.020598,-1.0,5.0,34.44,0.19,81.0,166.37,10.96,19.7,0.16,0.22
38.375683,100,8.244974,0.72,2.0,38.38,0.22,78.0,399.61,1.6,39.51,0.18,0.19
40.881096,100,8.44295,0.75,4.0,40.88,0.18,82.0,289.71,6.78,21.95,0.15,0.21
31.40498,100,8.638686,0.66,2.0,31.4,0.18,82.0,455.86,8.64,27.23,0.2,0.19
20.586393,100,8.80951,0.44,0.0,20.59,0.22,78.0,394.84,10.04,17.75,0.36,0.18
26.074976,100,8.973643,0.63,3.0,26.07,0.24,76.0,384.36,8.03,25.97,0.15,0.16
34.988586,100,9.15611,0.51,3.0,34.99,0.13,87.0,346.99,12.53,13.85,0.26,0.16
45.806515,100,9.329601,-1.0,4.0,45.81,0.17,83.0,399.72,3.01,34.33,0.1,0.17
27.58285,100,9.49986,0.82,1.0,27.58,0.24,76.0,304.24,6.97,21.82,0.2,0.16
22.322872,100,9.678573,-1.0,4.0,22.32,0.24,76.0,400.86,7.54,26.22,0.27,0.16
32.24901,100,9.844599,-1.0,5.0,32.25,0.2,80.0,311.44,8.51,22.7,0.22,0.17
50.706703,100,10.024903,0.86,4.0,50.71,0.16,84.0,302.66,2.65,34.26,0.12,0.16
30.080763,100,10.206488,0.61,4.0,30.08,0.21,79.0,185.67,12.1,17.71,0.14,0.17
26.481403,100,10.397685,0.76,1.0,26.48,0.27,73.0,323.77,5.37,29.8,0.1,0.17
22.25203,100,10.583692,0.73,1.0,22.25,0.25,75.0,385.6,8.95,24.51,0.13,0.18
32.157948,100,10.795616,0.76,1.0,32.16,0.17,83.0,329.96,9.84,22.29,0.31,0.17
5.675725,100,10.982694,-1.0,5.0,5.68,0.31,69.0,417.3,9.48,20.94,0.41,0.2
40.725666,100,11.230644,0.87,4.0,40.73,0.24,76.0,223.25,1.33,34.78,0.2,0.18
