r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
45.65411,100,3.128982,0.8,3.0,45.65,0.18,82.0,363.59,4.36,29.2,0.24,0.0
7.754293,100,3.774632,0.0,2.0,7.75,0.23,77.0,342.44,10.01,21.41,0.15,0.63
29.929502,100,4.565643,0.93,3.0,29.93,0.15,85.0,435.49,8.07,25.45,0.08,0.61
27.674269,100,5.085137,0.8,2.0,27.67,0.2,80.0,472.72,7.06,31.32,0.13,0.76
10.26953,100,5.454489,1.0,1.0,10.27,0.18,82.0,482.79,10.83,17.13,0.28,0.5
26.519045,100,5.829842,0.4,4.0,26.52,0.21,79.0,338.68,6.98,24.38,0.25,0.35
13.677144,100,6.443503,0.93,0.0,13.68,0.29,71.0,495.54,6.98,24.79,0.21,0.37
48.51046,100,7.106098,-1.0,5.0,48.51,0.21,79.0,293.28,2.8,34.02,0.18,0.59
18.396185,100,7.719011,0.8,3.0,18.4,0.2,80.0,475.15,8.8,27.54,0.19,0.64
38.279984,100,8.070667,0.53,1.0,38.28,0.21,79.0,375.64,4.74,32.59,0.04,0.59
33.72761,100,8.426534,0.37,4.0,33.73,0.15,85.0,400.32,7.4,28.17,0.19,0.34
49.799995,100,8.728177,0.93,0.0,49.8,0.21,79.0,329.51,2.56,33.8,0.13,0.34
18.00762,100,9.020153,0.0,2.0,18.01,0.23,77.0,455.73,8.01,22.3,0.28,0.29
31.571417,100,9.421618,0.53,3.0,31.57,0.16,84.0,206.34,7.51,20.58,0.1,0.28
41.719997,100,9.916638,0.77,4.0,41.72,0.2,80.0,354.07,4.43,29.2,0.18,0.39
44.461887,100,10.170021,0.8,0.0,44.46,0.17,83.0,408.79,4.89,31.17,0.14,0.48
40.399986,100,10.420005,0.53,1.0,40.4,0.17,83.0,358.75,5.63,26.7,0.21,0.24
19.549202,100,10.793648,0.93,0.0,19.55,0.2,80.0,280.6,8.58,21.32,0.21,0.24
8.200004,100,11.155368,0.8,1.0,8.2,0.19,81.0,386.48,10.96,17.47,0.16,0.36
31.729357,100,11.588363,0.93,3.0,31.73,0.18,82.0,262.8,6.9,29.8,0.14,0.34
-4.5333343,100,11.861829,-1.0,5.0,-4.53,0.2,80.0,397.14,13.1,12.32,0.17,0.42
8.144445,100,12.09801,0.93,1.0,8.14,0.22,78.0,318.85,10.2,21.65,0.19,0.26
-15.599999,100,12.447484,0.0,2.0,-15.6,0.24,76.0,388.8,14.34,11.89,0.29,0.23
51.133297,100,12.80931,-1.0,5.0,51.13,0.17,83.0,426.44,3.69,35.62,0.14,0.33
19.519999,100,13.149569,0.53,0.0,19.52,0.15,85.0,450.89,9.91,17.34,0.22,0.34
8.223813,100,13.60312,-1.0,5.0,8.22,0.19,81.0,166.37,10.96,19.7,0.16,0.33
52.859535,100,13.920388,0.93,2.0,52.86,0.22,78.0,399.61,1.6,39.51,0.18,0.44
32.399986,100,14.302912,0.53,4.0,32.4,0.18,82.0,289.71,6.78,21.95,0.15,0.3
22.207607,100,14.67271,0.8,2.0,22.21,0.18,82.0,455.86,8.64,27.23,0.2,0.37
8.991116,100,15.029966,0.0,0.0,8.99,0.22,78.0,394.84,10.04,17.75,0.36,0.35
16.360004,100,15.461489,0.8,3.0,16.36,0.24,76.0,384.36,8.03,25.97,0.15,0.34
7.098413,100,15.968958,0.0,3.0,7.1,0.13,87.0,346.99,12.53,13.85,0.26,0.42
