r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
42.645943,100,0.736047,0.78,3.0,42.65,0.18,82.0,363.59,4.36,29.2,0.24,0.0
20.307814,100,1.309353,0.42,2.0,20.31,0.23,77.0,342.44,10.01,21.41,0.15,0.28
44.883602,100,1.745428,0.92,3.0,44.88,0.15,85.0,435.49,8.07,25.45,0.08,0.56
36.308514,100,2.22115,0.84,2.0,36.31,0.2,80.0,472.72,7.06,31.32,0.13,0.42
24.782198,100,2.793698,0.86,1.0,24.78,0.18,82.0,482.79,10.83,17.13,0.28,0.46
32.715332,100,3.260869,0.57,4.0,32.72,0.21,79.0,338.68,6.98,24.38,0.25,0.55
20.454931,100,3.624465,0.86,0.0,20.45,0.29,71.0,495.54,6.98,24.79,0.21,0.45
44.077232,100,4.006452,-1.0,5.0,44.08,0.21,79.0,293.28,2.8,34.02,0.18,0.35
30.186218,100,4.422114,0.81,3.0,30.19,0.2,80.0,475.15,8.8,27.54,0.19,0.37
43.224186,100,4.699893,0.74,1.0,43.22,0.21,79.0,375.64,4.74,32.59,0.04,0.4
39.353283,100,5.085376,0.59,4.0,39.35,0.15,85.0,400.32,7.4,28.17,0.19,0.26
45.594837,100,5.483095,0.9,0.0,45.59,0.21,79.0,329.51,2.56,33.8,0.13,0.37
23.818369,100,5.898133,0.36,2.0,23.82,0.23,77.0,455.73,8.01,22.3,0.28,0.38
44.333584,100,6.435376,0.72,3.0,44.33,0.16,84.0,206.34,7.51,20.58,0.1,0.39
43.158882,100,7.017732,0.79,4.0,43.16,0.2,80.0,354.07,4.43,29.2,0.18,0.52
46.847095,100,7.426371,0.83,0.0,46.85,0.17,83.0,408.79,4.89,31.17,0.14,0.56
45.02009,100,7.785977,0.66,1.0,45.02,0.17,83.0,358.75,5.63,26.7,0.21,0.39
30.875372,100,8.267009,0.86,0.0,30.88,0.2,80.0,280.6,8.58,21.32,0.21,0.34
24.659412,100,8.762423,0.82,1.0,24.66,0.19,81.0,386.48,10.96,17.47,0.16,0.46
40.380432,100,9.313598,0.9,3.0,40.38,0.18,82.0,262.8,6.9,29.8,0.14,0.47
17.789007,100,9.649201,-1.0,5.0,17.79,0.2,80.0,397.14,13.1,12.32,0.17,0.53
22.251669,100,9.988132,0.87,1.0,22.25,0.22,78.0,318.85,10.2,21.65,0.19,0.32
6.284095,100,10.402295,0.35,2.0,6.28,0.24,76.0,388.8,14.34,11.89,0.29,0.32
49.209656,100,10.757514,-1.0,5.0,49.21,0.17,83.0,426.44,3.69,35.62,0.14,0.39
31.655584,100,11.137003,0.66,0.0,31.66,0.15,85.0,450.89,9.91,17.34,0.22,0.33
24.997517,100,11.550873,-1.0,5.0,25.0,0.19,81.0,166.37,10.96,19.7,0.16,0.36
47.37484,100,12.002535,0.87,2.0,47.37,0.22,78.0,399.61,1.6,39.51,0.18,0.4
41.26713,100,12.292663,0.69,4.0,41.27,0.18,82.0,289.71,6.78,21.95,0.15,0.43
34.565765,100,12.533467,0.8,2.0,34.57,0.18,82.0,455.86,8.64,27.23,0.2,0.28
17.477535,100,12.767251,0.32,0.0,17.48,0.22,78.0,394.84,10.04,17.75,0.36,0.23
28.234594,100,13.003212,0.82,3.0,28.23,0.24,76.0,384.36,8.03,25.97,0.15,0.22
29.068544,100,13.534669,0.37,3.0,29.07,0.13,87.0,346.99,12.53,13.85,0.26,0.22
54.42859,100,14.02561,-1.0,4.0,54.43,0.17,83.0,399.72,3.01,34.33,0.1,0.51
26.684362,100,14.410687,0.9,1.0,26.68,0.24,76.0,304.24,6.97,21.82,0.2,0.47
22.818209,100,14.866291,-1.0,4.0,22.82,0.24,76.0,400.86,7.54,26.22,0.27,0.37
30.321888,100,15.179882,-1.0,5.0,30.32,0.2,80.0,311.44,8.51,22.7,0.22,0.44
56.08746,100,15.485365,0.88,4.0,56.09,0.16,84.0,302.66,2.65,34.26,0.12,0.3
21.203392,100,15.775819,0.43,4.0,21.2,0.21,79.0,185.67,12.1,17.71,0.14,0.29
29.193111,100,16.170763,0.92,1.0,29.19,0.27,73.0,323.77,5.37,29.8,0.1,0.27
23.002625,100,16.547937,0.7,1.0,23.0,0.25,75.0,385.6,8.95,24.51,0.13,0.37
27.817488,100,16.912016,0.85,1.0,27.82,0.17,83.0,329.96,9.84,22.29,0.31,0.36
3.295331,100,17.136432,-1.0,5.0,3.3,0.31,69.0,417.3,9.48,20.94,0.41,0.35
43.148144,100,17.470141,0.88,4.0,43.15,0.24,76.0,223.25,1.33,34.78,0.2,0.21
48.686928,100,17.758989,-1.0,5.0,48.69,0.18,82.0,480.76,2.98,40.1,0.05,0.32
26.323734,100,18.180579,0.75,3.0,26.32,0.21,79.0,522.46,8.05,24.58,0.29,0.28
26.255806,100,18.544721,0.5,4.0,26.26,0.19,81.0,499.67,9.37,17.65,0.27,0.4
50.292816,100,18.829466,0.93,1.0,50.29,0.15,85.0,266.91,4.83,33.24,0.14,0.35
42.134396,100,19.210529,0.46,4.0,42.13,0.16,84.0,209.66,7.94,23.58,0.15,0.27
32.74553,100,19.738686,0.65,2.0,32.75,0.18,82.0,383.63,8.23,21.5,0.23,0.36
31.905727,100,20.080582,0.31,0.0,31.91,0.14,86.0,251.87,9.56,18.34,0.37,0.51
14.0201235,100,20.438835,0.33,2.0,14.02,0.26,74.0,338.92,9.85,17.71,0.34,0.32
32.318726,100,20.945385,-1.0,5.0,32.32,0.23,77.0,291.64,7.25,29.53,0.1,0.34
18.109219,100,21.354733,0.4,4.0,18.11,0.23,77.0,303.47,11.06,19.99,0.21,0.49
27.965214,100,21.688509,-1.0,5.0,27.97,0.2,80.0,366.82,7.87,24.95,0.27,0.39
17.315542,100,22.074777,0.38,0.0,17.32,0.25,75.0,482.92,9.54,22.68,0.25,0.32
19.725819,100,22.426724,0.34,1.0,19.73,0.22,78.0,202.08,9.99,18.24,0.32,0.37
28.942583,100,22.932613,-1.0,5.0,28.94,0.17,83.0,296.31,10.08,21.3,0.25,0.33
43.768433,100,23.357916,0.83,3.0,43.77,0.22,78.0,421.65,3.35,41.6,0.13,0.48
47.815163,100,23.638344,-1.0,5.0,47.82,0.18,82.0,461.36,3.03,30.37,0.22,0.41
13.966361,100,23.949811,0.36,0.0,13.97,0.23,77.0,272.28,11.94,17.46,0.28,0.26
33.245068,100,24.403448,0.67,2.0,33.25,0.22,78.0,287.82,6.21,26.62,0.19,0.29
