r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
37.60089,100,0.853071,0.68,3.0,37.6,0.18,82.0,363.59,4.36,29.2,0.24,0.0
24.733032,100,1.11223,0.62,2.0,24.73,0.23,77.0,342.44,10.01,21.41,0.15,0.22
37.772045,100,1.3473,0.72,3.0,37.77,0.15,85.0,435.49,8.07,25.45,0.08,0.24
27.858397,100,1.631793,0.56,2.0,27.86,0.2,80.0,472.72,7.06,31.32,0.13,0.22
24.584967,100,1.88075,0.51,1.0,24.58,0.18,82.0,482.79,10.83,17.13,0.28,0.27
31.864185,100,2.150172,0.69,4.0,31.86,0.21,79.0,338.68,6.98,24.38,0.25,0.23
12.293452,100,2.582432,0.62,0.0,12.29,0.29,71.0,495.54,6.98,24.79,0.21,0.25
38.562798,100,2.806334,-1.0,5.0,38.56,0.21,79.0,293.28,2.8,34.02,0.18,0.42
25.980759,100,3.065112,0.65,3.0,25.98,0.2,80.0,444.88,8.95,26.8,0.2,0.21
34.003468,100,3.299661,0.68,1.0,34.0,0.21,79.0,373.59,4.72,32.53,0.05,0.25
37.355804,100,3.54492,0.68,4.0,37.36,0.15,85.0,400.32,7.4,28.17,0.19,0.22
37.559647,100,3.796459,0.67,0.0,37.56,0.21,79.0,328.28,2.53,33.74,0.12,0.23
20.897907,100,4.039667,0.51,2.0,20.9,0.23,77.0,455.73,8.01,22.3,0.28,0.24
48.174095,100,4.232865,0.84,3.0,48.17,0.16,84.0,206.34,7.51,20.58,0.1,0.23
36.453007,100,4.514729,0.8,4.0,36.45,0.2,80.0,350.47,4.42,29.14,0.18,0.18
38.01043,100,4.769547,0.62,0.0,38.01,0.17,83.0,408.79,4.89,31.17,0.14,0.27
39.711224,100,4.974463,0.7,1.0,39.71,0.17,83.0,358.36,5.63,26.7,0.23,0.24
34.915848,100,5.279607,0.71,0.0,34.92,0.2,80.0,280.6,8.58,21.32,0.21,0.19
28.310627,100,5.504015,0.53,1.0,28.31,0.19,81.0,386.48,10.96,17.47,0.16,0.29
41.6167,100,5.788062,0.76,3.0,41.62,0.18,82.0,261.77,6.95,29.82,0.15,0.21
24.081898,100,6.096987,-1.0,5.0,24.08,0.2,80.0,397.14,13.1,12.32,0.17,0.27
27.610445,100,6.4006,0.66,1.0,27.61,0.22,78.0,318.85,10.2,21.65,0.19,0.29
16.474,100,6.647482,0.51,2.0,16.47,0.24,76.0,385.51,14.34,11.91,0.28,0.29
38.375347,100,6.925792,-1.0,5.0,38.38,0.17,83.0,423.62,3.69,35.59,0.13,0.23
31.607262,100,7.184341,0.58,0.0,31.61,0.15,85.0,447.74,10.1,17.28,0.23,0.27
38.679268,100,7.418179,-1.0,5.0,38.68,0.19,81.0,175.72,11.01,19.86,0.17,0.25
34.00538,100,7.630674,0.65,2.0,34.01,0.22,78.0,397.23,1.59,39.47,0.18,0.22
40.670296,100,7.918007,0.78,4.0,40.67,0.18,82.0,291.16,6.78,22.16,0.14,0.2
29.824593,100,8.168269,0.58,2.0,29.82,0.18,82.0,455.86,8.64,27.23,0.2,0.27
22.140821,100,8.362828,0.5,0.0,22.14,0.22,78.0,394.84,10.04,17.75,0.36,0.24
24.995167,100,8.579334,0.53,3.0,25.0,0.24,76.0,384.36,8.03,25.97,0.15,0.18
38.166256,100,8.823778,0.58,3.0,38.17,0.13,87.0,344.67,12.53,13.86,0.26,0.21
41.291763,100,9.046175,-1.0,4.0,41.29,0.17,83.0,393.32,3.04,34.29,0.12,0.23
28.336903,100,9.320221,0.78,1.0,28.34,0.24,76.0,298.07,6.88,22.04,0.2,0.21
22.512358,100,9.609381,-1.0,4.0,22.51,0.24,76.0,395.09,7.07,27.23,0.28,0.26
33.05231,100,9.855205,-1.0,5.0,33.05,0.2,80.0,306.39,8.31,23.02,0.23,0.28
47.4417,100,10.140754,0.83,4.0,47.44,0.16,84.0,309.14,2.69,35.94,0.14,0.23
36.21684,100,10.404824,0.72,2.0,36.22,0.2,80.0,187.07,12.05,17.86,0.13,0.27
24.65083,100,10.660518,0.68,1.0,24.65,0.27,73.0,321.17,5.37,29.8,0.13,0.25
21.87673,100,10.881579,0.74,1.0,21.88,0.25,75.0,385.6,8.95,24.51,0.13,0.24
39.10853,100,11.122785,0.7,1.0,39.11,0.17,83.0,205.86,10.17,21.23,0.35,0.21
6.385415,100,11.404948,-1.0,5.0,6.39,0.31,69.0,425.17,9.58,20.82,0.41,0.23
39.4877,100,11.636361,0.86,4.0,39.49,0.24,76.0,219.69,1.34,34.78,0.2,0.27
35.96424,100,11.850742,-1.0,5.0,35.96,0.17,83.0,479.75,2.96,39.8,0.05,0.22
20.666048,100,12.055455,0.6,3.0,20.67,0.21,79.0,524.21,7.9,24.65,0.29,0.2
23.442736,100,12.297262,0.58,4.0,23.44,0.19,81.0,499.67,9.37,17.65,0.27,0.19
48.305683,100,12.542503,0.93,1.0,48.31,0.15,85.0,267.11,4.89,33.11,0.15,0.23
47.36073,100,12.756802,0.7,4.0,47.36,0.16,84.0,201.59,8.03,23.71,0.16,0.23
32.53297,100,12.986501,0.73,2.0,32.53,0.18,82.0,384.73,8.33,21.35,0.24,0.2
44.49999,100,13.258262,0.59,0.0,44.5,0.13,87.0,252.57,9.66,18.18,0.38,0.22
19.389462,100,13.526802,0.58,2.0,19.39,0.26,74.0,338.92,9.85,17.71,0.34,0.26
33.461533,100,13.794344,-1.0,5.0,33.46,0.22,78.0,290.91,7.46,29.2,0.1,0.26
25.77721,100,14.060752,0.68,4.0,25.78,0.23,77.0,300.89,11.06,20.02,0.21,0.26
29.609213,100,14.301767,-1.0,5.0,29.61,0.2,80.0,366.82,7.87,24.95,0.27,0.25
15.582134,100,14.585715,0.49,0.0,15.58,0.25,75.0,507.86,9.34,23.21,0.22,0.23
31.682169,100,14.864656,0.65,1.0,31.68,0.22,78.0,206.42,10.06,18.42,0.33,0.27
36.82975,100,15.108568,-1.0,5.0,36.83,0.17,83.0,298.72,9.98,21.47,0.23,0.27
31.434696,100,15.388079,0.53,3.0,31.43,0.22,78.0,420.14,3.35,41.6,0.12,0.23
34.853874,100,15.623461,-1.0,5.0,34.85,0.18,82.0,461.36,3.03,30.37,0.22,0.27
25.525717,100,15.859197,0.61,0.0,25.53,0.23,77.0,271.42,11.94,17.46,0.27,0.22
33.487667,100,16.073292,0.78,2.0,33.49,0.22,78.0,283.51,6.23,26.53,0.22,0.22
32.634163,100,16.331615,-1.0,5.0,32.63,0.23,77.0,296.54,4.61,32.0,0.21,0.2
29.385292,100,16.567609,0.67,0.0,29.39,0.19,81.0,365.28,9.71,16.26,0.23,0.24
28.8147,100,16.765679,0.7,1.0,28.81,0.22,78.0,358.83,4.91,29.18,0.31,0.22
26.304262,100,16.986973,0.64,2.0,26.3,0.18,82.0,550.61,8.01,27.04,0.13,0.19
33.611805,100,17.17957,0.67,2.0,33.61,0.2,80.0,389.76,5.49,33.3,0.18,0.21
39.922535,100,17.546888,0.72,0.0,39.92,0.2,80.0,298.52,1.53,35.84,0.36,0.18
37.628036,100,17.99039,0.79,3.0,37.63,0.15,85.0,471.76,4.06,30.7,0.26,0.36
25.697163,100,18.22416,-1.0,4.0,25.7,0.22,78.0,498.09,5.12,29.58,0.09,0.43
27.512001,100,18.513831,0.6,2.0,27.51,0.2,80.0,365.63,10.13,19.5,0.32,0.22
40.53578,100,18.744169,0.61,0.0,40.54,0.14,86.0,304.14,10.1,18.34,0.19,0.28
45.938644,100,19.030471,0.78,0.0,45.94,0.15,85.0,284.36,4.52,30.99,0.18,0.22
30.778616,100,19.346942,0.74,2.0,30.78,0.24,76.0,212.0,6.74,20.7,0.29,0.27
45.062397,100,19.633369,-1.0,5.0,45.06,0.16,84.0,315.27,2.38,33.08,0.28,0.3
34.366283,100,19.911654,0.48,0.0,34.37,0.14,86.0,441.5,9.36,20.5,0.29,0.27
32.235085,100,20.168026,0.64,1.0,32.24,0.18,82.0,392.0,7.56,26.05,0.24,0.27
20.895887,100,20.461007,0.71,0.0,20.9,0.29,71.0,293.31,6.17,23.54,0.23,0.24
37.61686,100,20.729917,0.72,1.0,37.62,0.19,81.0,280.69,7.63,22.63,0.12,0.28
