r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
39.637768,100,0.747734,0.76,3.0,39.64,0.18,82.0,363.59,4.36,29.2,0.24,0.0
32.861343,100,0.964737,0.85,2.0,32.86,0.23,77.0,342.44,10.01,21.41,0.15,0.18
59.837692,100,1.408247,0.92,3.0,59.84,0.15,85.0,435.49,8.07,25.45,0.08,0.2
44.942738,100,1.776091,0.87,2.0,44.94,0.2,80.0,472.72,7.06,31.32,0.13,0.42
39.294876,100,2.121406,0.72,1.0,39.29,0.18,82.0,482.79,10.83,17.13,0.28,0.35
38.91162,100,2.577105,0.75,4.0,38.91,0.21,79.0,338.68,6.98,24.38,0.25,0.33
27.232721,100,3.024778,0.79,0.0,27.23,0.29,71.0,495.54,6.98,24.79,0.21,0.44
39.644,100,3.238481,-1.0,5.0,39.64,0.21,79.0,293.28,2.8,34.02,0.18,0.43
41.976254,100,3.421659,0.81,3.0,41.98,0.2,80.0,475.15,8.8,27.54,0.19,0.2
48.16835,100,3.5953,0.96,1.0,48.17,0.21,79.0,375.64,4.74,32.59,0.04,0.17
44.978962,100,3.7816,0.81,4.0,44.98,0.15,85.0,400.32,7.4,28.17,0.19,0.16
41.38967,100,3.9636,0.87,0.0,41.39,0.21,79.0,329.51,2.56,33.8,0.13,0.18
29.629126,100,4.391659,0.72,2.0,29.63,0.23,77.0,455.73,8.01,22.3,0.28,0.17
57.095745,100,4.607526,0.9,3.0,57.1,0.16,84.0,206.34,7.51,20.58,0.1,0.39
44.597748,100,4.789442,0.82,4.0,44.6,0.2,80.0,354.07,4.43,29.2,0.18,0.2
49.23228,100,4.958449,0.86,0.0,49.23,0.17,83.0,408.79,4.89,31.17,0.14,0.17
49.640152,100,5.224518,0.79,1.0,49.64,0.17,83.0,358.75,5.63,26.7,0.21,0.16
42.20154,100,5.583972,0.79,0.0,42.2,0.2,80.0,280.6,8.58,21.32,0.21,0.26
41.118824,100,6.006194,0.84,1.0,41.12,0.19,81.0,386.48,10.96,17.47,0.16,0.34
49.0315,100,6.492992,0.86,3.0,49.03,0.18,82.0,262.8,6.9,29.8,0.14,0.41
40.111336,100,7.136706,-1.0,5.0,40.11,0.2,80.0,397.14,13.1,12.32,0.17,0.47
36.358894,100,7.467825,0.81,1.0,36.36,0.22,78.0,318.85,10.2,21.65,0.19,0.63
28.16819,100,7.817556,0.71,2.0,28.17,0.24,76.0,388.8,14.34,11.89,0.29,0.32
47.285957,100,8.096627,-1.0,5.0,47.29,0.17,83.0,426.44,3.69,35.62,0.14,0.33
43.791172,100,8.376505,0.78,0.0,43.79,0.15,85.0,450.89,9.91,17.34,0.22,0.27
41.771236,100,8.725204,-1.0,5.0,41.77,0.19,81.0,166.37,10.96,19.7,0.16,0.27
41.89016,100,9.061716,0.82,2.0,41.89,0.22,78.0,399.61,1.6,39.51,0.18,0.33
50.134243,100,9.723604,0.85,4.0,50.13,0.18,82.0,289.71,6.78,21.95,0.15,0.32
46.923893,100,10.491598,0.8,2.0,46.92,0.18,82.0,455.86,8.64,27.23,0.2,0.64
25.963953,100,11.115818,0.64,0.0,25.96,0.22,78.0,394.84,10.04,17.75,0.36,0.74
40.1092,100,11.537738,0.85,3.0,40.11,0.24,76.0,384.36,8.03,25.97,0.15,0.6
51.03868,100,12.003534,0.74,3.0,51.04,0.13,87.0,346.99,12.53,13.85,0.26,0.41
53.99051,100,12.417705,-1.0,4.0,53.99,0.17,83.0,399.72,3.01,34.33,0.1,0.44
31.635386,100,12.590814,0.8,1.0,31.64,0.24,76.0,304.24,6.97,21.82,0.2,0.4
26.783089,100,12.773005,-1.0,4.0,26.78,0.24,76.0,400.86,7.54,26.22,0.27,0.16
40.714897,100,12.950761,-1.0,5.0,40.71,0.2,80.0,311.44,8.51,22.7,0.22,0.17
53.414898,100,13.140067,0.88,4.0,53.41,0.16,84.0,302.66,2.65,34.26,0.12,0.17
42.873447,100,13.317769,0.86,4.0,42.87,0.21,79.0,185.67,12.1,17.71,0.14,0.18
33.65289,100,13.849338,0.9,1.0,33.65,0.27,73.0,323.77,5.37,29.8,0.1,0.17
35.76462,100,14.496466,0.87,1.0,35.76,0.25,75.0,385.6,8.95,24.51,0.13,0.5
38.528942,100,15.055793,0.69,1.0,38.53,0.17,83.0,329.96,9.84,22.29,0.31,0.63
7.5862207,100,15.68787,-1.0,5.0,7.59,0.31,69.0,417.3,9.48,20.94,0.41,0.53
33.94804,100,16.090903,0.8,4.0,33.95,0.24,76.0,223.25,1.33,34.78,0.2,0.61
44.173843,100,16.472921,-1.0,5.0,44.17,0.18,82.0,480.76,2.98,40.1,0.05,0.38
31.785551,100,16.6876,0.71,3.0,31.79,0.21,79.0,522.46,8.05,24.58,0.29,0.37
35.70431,100,16.870461,0.73,4.0,35.7,0.19,81.0,499.67,9.37,17.65,0.27,0.2
52.26388,100,17.067598,0.86,1.0,52.26,0.15,85.0,266.91,4.83,33.24,0.14,0.17
55.106907,100,17.261878,0.85,4.0,55.11,0.16,84.0,209.66,7.94,23.58,0.15,0.19
41.02534,100,17.452009,0.77,2.0,41.03,0.18,82.0,383.63,8.23,21.5,0.23,0.19
40.88669,100,17.732151,0.63,0.0,40.89,0.14,86.0,251.87,9.56,18.34,0.37,0.18
23.697393,100,18.064027,0.66,2.0,23.7,0.26,74.0,338.92,9.85,17.71,0.34,0.27
42.717445,100,18.353313,-1.0,5.0,42.72,0.23,77.0,291.64,7.25,29.53,0.1,0.32
33.88035,100,18.703439,0.79,4.0,33.88,0.23,77.0,303.47,11.06,19.99,0.21,0.27
32.58519,100,19.02247,-1.0,5.0,32.59,0.2,80.0,366.82,7.87,24.95,0.27,0.33
27.320295,100,19.432778,0.75,0.0,27.32,0.25,75.0,482.92,9.54,22.68,0.25,0.3
30.178625,100,19.870413,0.68,1.0,30.18,0.22,78.0,202.08,9.99,18.24,0.32,0.39
42.133408,100,20.252892,-1.0,5.0,42.13,0.17,83.0,296.31,10.08,21.3,0.25,0.41
