r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
39.94582,100,1.939759,0.7,3.0,39.95,0.18,82.0,363.59,4.36,29.2,0.24,0.0
17.718735,100,2.114054,0.37,2.0,17.72,0.23,77.0,342.44,10.01,21.41,0.15,0.17
31.480272,100,2.295851,0.76,3.0,31.48,0.15,85.0,435.49,8.07,25.45,0.08,0.16
24.94963,100,2.520579,0.58,2.0,24.95,0.2,80.0,472.72,7.06,31.32,0.13,0.17
17.361498,100,2.722896,0.64,1.0,17.36,0.18,82.0,482.79,10.83,17.13,0.28,0.21
28.907906,100,2.891948,0.59,4.0,28.91,0.21,79.0,338.68,6.98,24.38,0.25,0.19
10.264806,100,3.226639,0.7,0.0,10.26,0.29,71.0,495.54,6.98,24.79,0.21,0.16
41.698498,100,3.5491,-1.0,5.0,41.7,0.21,79.0,293.28,2.8,34.02,0.18,0.32
20.213192,100,3.728492,0.67,3.0,20.21,0.2,80.0,475.15,8.8,27.54,0.19,0.31
33.327034,100,3.924378,0.59,1.0,33.33,0.21,79.0,375.64,4.74,32.59,0.04,0.17
34.87588,100,4.110437,0.56,4.0,34.88,0.15,85.0,400.32,7.4,28.17,0.19,0.19
40.91077,100,4.316864,0.72,0.0,40.91,0.21,79.0,329.51,2.56,33.8,0.13,0.18
18.47927,100,4.531931,0.3,2.0,18.48,0.23,77.0,455.73,8.01,22.3,0.28,0.2
41.15293,100,4.715008,0.72,3.0,41.15,0.16,84.0,206.34,7.51,20.58,0.1,0.21
36.72301,100,4.914991,0.78,4.0,36.72,0.2,80.0,354.07,4.43,29.2,0.18,0.17
38.290615,100,5.078954,0.64,0.0,38.29,0.17,83.0,408.79,4.89,31.17,0.14,0.19
38.33861,100,5.246772,0.63,1.0,38.34,0.17,83.0,358.75,5.63,26.7,0.21,0.16
28.579342,100,5.406562,0.77,0.0,28.58,0.2,80.0,280.6,8.58,21.32,0.21,0.16
19.472378,100,5.598349,0.57,1.0,19.47,0.19,81.0,386.48,10.96,17.47,0.16,0.15
37.120144,100,5.79864,0.8,3.0,37.12,0.18,82.0,262.8,6.9,29.8,0.14,0.18
11.871917,100,6.025054,-1.0,5.0,11.87,0.2,80.0,397.14,13.1,12.32,0.17,0.19
19.6637,100,6.23585,0.73,1.0,19.66,0.22,78.0,318.85,10.2,21.65,0.19,0.22
3.4488049,100,6.495133,0.3,2.0,3.45,0.24,76.0,388.8,14.34,11.89,0.29,0.2
40.893265,100,6.777904,-1.0,5.0,40.89,0.17,83.0,426.44,3.69,35.62,0.14,0.25
25.620533,100,7.042098,0.53,0.0,25.62,0.15,85.0,450.89,9.91,17.34,0.22,0.27
28.407892,100,7.286368,-1.0,5.0,28.41,0.19,81.0,166.37,10.96,19.7,0.16,0.25
38.868225,100,7.518139,0.71,2.0,38.87,0.22,78.0,399.61,1.6,39.51,0.18,0.23
36.351036,100,7.804822,0.69,4.0,36.35,0.18,82.0,289.71,6.78,21.95,0.15,0.22
24.435709,100,8.133602,0.62,2.0,24.44,0.18,82.0,455.86,8.64,27.23,0.2,0.27
17.120398,100,8.380843,0.31,0.0,17.12,0.22,78.0,394.84,10.04,17.75,0.36,0.31
19.59777,100,8.665015,0.56,3.0,19.6,0.24,76.0,384.36,8.03,25.97,0.15,0.23
25.48353,100,8.889553,0.36,3.0,25.48,0.13,87.0,346.99,12.53,13.85,0.26,0.27
43.870026,100,9.125381,-1.0,4.0,43.87,0.17,83.0,399.72,3.01,34.33,0.1,0.21
25.331963,100,9.425841,0.85,1.0,25.33,0.24,76.0,304.24,6.97,21.82,0.2,0.2
20.2166,100,9.692716,-1.0,4.0,20.22,0.24,76.0,400.86,7.54,26.22,0.27,0.28
27.534288,100,9.918061,-1.0,5.0,27.53,0.2,80.0,311.44,8.51,22.7,0.22,0.25
50.697796,100,10.101395,0.85,4.0,50.7,0.16,84.0,302.66,2.65,34.26,0.12,0.21
21.465075,100,10.304464,0.44,4.0,21.47,0.21,79.0,185.67,12.1,17.71,0.14,0.17
23.573587,100,10.514152,0.73,1.0,23.57,0.27,73.0,323.77,5.37,29.8,0.1,0.19
15.683387,100,10.731706,0.65,1.0,15.68,0.25,75.0,385.6,8.95,24.51,0.13,0.2
27.887333,100,10.967987,0.81,1.0,27.89,0.17,83.0,329.96,9.84,22.29,0.31,0.21
4.1253796,100,11.155461,-1.0,5.0,4.13,0.31,69.0,417.3,9.48,20.94,0.41,0.22
44.7201,100,11.340088,0.9,4.0,44.72,0.24,76.0,223.25,1.33,34.78,0.2,0.18
38.91016,100,11.505155,-1.0,5.0,38.91,0.18,82.0,480.76,2.98,40.1,0.05,0.17
18.812668,100,11.763705,0.65,3.0,18.81,0.21,79.0,522.46,8.05,24.58,0.29,0.16
19.187328,100,11.995611,0.45,4.0,19.19,0.19,81.0,499.67,9.37,17.65,0.27,0.25
47.84829,100,12.19688,0.97,1.0,47.85,0.15,85.0,266.91,4.83,33.24,0.14,0.22
39.808624,100,12.37106,0.47,4.0,39.81,0.16,84.0,209.66,7.94,23.58,0.15,0.19
28.529411,100,12.55852,0.66,2.0,28.53,0.18,82.0,383.63,8.23,21.5,0.23,0.16
36.664085,100,12.770924,0.39,0.0,36.66,0.14,86.0,251.87,9.56,18.34,0.37,0.18
13.655939,100,12.977151,0.37,2.0,13.66,0.26,74.0,338.92,9.85,17.71,0.34,0.2
26.75928,100,13.197994,-1.0,5.0,26.76,0.23,77.0,291.64,7.25,29.53,0.1,0.19
16.512424,100,13.612796,0.44,4.0,16.51,0.23,77.0,303.47,11.06,19.99,0.21,0.21
27.025219,100,13.809981,-1.0,5.0,27.03,0.2,80.0,366.82,7.87,24.95,0.27,0.4
10.565491,100,13.987796,0.28,0.0,10.57,0.25,75.0,482.92,9.54,22.68,0.25,0.19
24.786348,100,14.232872,0.43,1.0,24.79,0.22,78.0,202.08,9.99,18.24,0.32,0.16
28.608248,100,14.528633,-1.0,5.0,28.61,0.17,83.0,296.31,10.08,21.3,0.25,0.23
33.46321,100,14.862083,0.56,3.0,33.46,0.22,78.0,421.65,3.35,41.6,0.13,0.28
39.562874,100,15.223395,-1.0,5.0,39.56,0.18,82.0,461.36,3.03,30.37,0.22,0.32
15.477784,100,15.608385,0.39,0.0,15.48,0.23,77.0,272.28,11.94,17.46,0.28,0.34
31.269592,100,15.861421,0.7,2.0,31.27,0.22,78.0,287.82,6.21,26.62,0.19,0.36
31.528507,100,16.116207,-1.0,5.0,31.53,0.24,76.0,296.33,4.65,32.22,0.21,0.24
22.632729,100,16.337721,0.75,0.0,22.63,0.2,80.0,362.51,9.58,16.5,0.23,0.24
36.319626,100,16.675186,0.72,1.0,36.32,0.22,78.0,229.54,5.14,28.32,0.35,0.21
22.29608,100,17.044284,0.7,2.0,22.3,0.18,82.0,550.61,8.01,27.04,0.13,0.32
32.121216,100,17.33707,0.6,2.0,32.12,0.2,80.0,391.86,5.59,32.73,0.21,0.35
48.764946,100,17.680406,0.81,0.0,48.76,0.2,80.0,295.83,1.54,34.34,0.36,0.28
40.37688,100,17.933082,0.5,2.0,40.38,0.15,85.0,477.96,4.29,30.05,0.25,0.32
25.884407,100,18.14549,-1.0,4.0,25.88,0.22,78.0,498.09,5.12,29.58,0.09,0.24
22.068953,100,18.369044,0.39,2.0,22.07,0.2,80.0,373.24,9.63,20.49,0.29,0.2
