r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
34.23751,100,0.908822,0.61,3.0,34.24,0.18,82.0,363.59,4.36,29.2,0.24,0.0
27.683187,100,1.127263,0.75,2.0,27.68,0.23,77.0,342.44,10.01,21.41,0.15,0.23
33.031013,100,1.406917,0.59,3.0,33.03,0.15,85.0,435.49,8.07,25.45,0.08,0.2
22.22497,100,1.631837,0.37,2.0,22.22,0.2,80.0,472.72,7.06,31.32,0.13,0.26
24.45347,100,1.906044,0.28,1.0,24.45,0.18,82.0,482.79,10.83,17.13,0.28,0.21
31.296738,100,2.20763,0.78,4.0,31.3,0.21,79.0,338.68,6.98,24.38,0.25,0.26
6.8524694,100,2.517819,0.46,0.0,6.85,0.29,71.0,495.54,6.98,24.79,0.21,0.29
34.8865,100,2.730967,-1.0,5.0,34.89,0.21,79.0,293.28,2.8,34.02,0.18,0.3
24.454138,100,3.075,0.55,3.0,24.45,0.2,80.0,444.88,8.95,26.8,0.2,0.2
28.536125,100,3.305776,0.64,1.0,28.54,0.21,79.0,373.59,4.72,32.53,0.05,0.33
36.024143,100,3.643518,0.74,4.0,36.02,0.15,85.0,400.32,7.4,28.17,0.19,0.22
32.118633,100,3.937146,0.51,0.0,32.12,0.21,79.0,328.28,2.53,33.74,0.12,0.32
18.95092,100,4.238438,0.6,2.0,18.95,0.23,77.0,455.73,8.01,22.3,0.28,0.28
50.734386,100,4.531088,0.91,3.0,50.73,0.16,84.0,206.34,7.51,20.58,0.1,0.29
32.014126,100,4.84499,0.8,4.0,32.01,0.2,80.0,350.47,4.42,29.14,0.18,0.28
32.11932,100,5.080655,0.49,0.0,32.12,0.17,83.0,408.79,4.89,31.17,0.14,0.3
36.30921,100,5.389267,0.73,1.0,36.31,0.17,83.0,358.36,5.63,26.7,0.23,0.22
37.609486,100,5.752758,0.6,0.0,37.61,0.2,80.0,280.6,8.58,21.32,0.21,0.29
30.744755,100,6.051186,0.34,1.0,30.74,0.19,81.0,386.48,10.96,17.47,0.16,0.35
42.595615,100,6.364718,0.67,3.0,42.6,0.18,82.0,261.77,6.95,29.82,0.15,0.28
28.277159,100,6.737649,-1.0,5.0,28.28,0.2,80.0,397.14,13.1,12.32,0.17,0.3
31.182957,100,7.153625,0.52,1.0,31.18,0.22,78.0,318.85,10.2,21.65,0.19,0.36
22.747704,100,7.453199,0.61,2.0,22.75,0.24,76.0,385.51,14.34,11.91,0.28,0.4
30.887114,100,7.701692,-1.0,5.0,30.89,0.17,83.0,423.62,3.69,35.59,0.13,0.29
31.988857,100,7.914331,0.53,0.0,31.99,0.15,85.0,447.74,10.1,17.28,0.23,0.23
47.83375,100,8.22653,-1.0,5.0,47.83,0.19,81.0,175.72,11.01,19.86,0.17,0.2
25.062809,100,8.575888,0.49,2.0,25.06,0.22,78.0,397.23,1.59,39.47,0.18,0.3
40.183178,100,8.951234,0.83,4.0,40.18,0.18,82.0,291.16,6.78,22.16,0.14,0.33
26.663813,100,9.368938,0.44,2.0,26.66,0.18,82.0,455.86,8.64,27.23,0.2,0.36
25.249687,100,9.772997,0.63,0.0,25.25,0.22,78.0,394.84,10.04,17.75,0.36,0.4
22.835548,100,10.168443,0.33,3.0,22.84,0.24,76.0,384.36,8.03,25.97,0.15,0.39
44.07086,100,10.467544,0.72,3.0,44.07,0.13,87.0,344.67,12.53,13.86,0.26,0.38
33.40452,100,10.734046,-1.0,4.0,33.4,0.17,83.0,393.32,3.04,34.29,0.12,0.29
29.400173,100,11.051039,0.7,1.0,29.4,0.24,76.0,298.07,6.88,22.04,0.2,0.25
22.01897,100,11.351416,-1.0,4.0,22.02,0.24,76.0,395.09,7.07,27.23,0.28,0.3
35.54445,100,11.640011,-1.0,5.0,35.54,0.2,80.0,306.39,8.31,23.02,0.23,0.29
42.090687,100,11.964092,0.8,4.0,42.09,0.16,84.0,309.14,2.69,35.94,0.14,0.27
45.099342,100,12.318111,0.91,2.0,45.1,0.2,80.0,187.07,12.05,17.86,0.13,0.31
22.604357,100,12.637462,0.53,1.0,22.6,0.27,73.0,321.17,5.37,29.8,0.13,0.33
21.12614,100,12.922396,0.77,1.0,21.13,0.25,75.0,385.6,8.95,24.51,0.13,0.3
48.97976,100,13.2635,0.62,1.0,48.98,0.17,83.0,205.86,10.17,21.23,0.35,0.27
8.703238,100,13.60346,-1.0,5.0,8.7,0.31,69.0,425.17,9.58,20.82,0.41,0.33
37.363274,100,13.875498,0.85,4.0,37.36,0.24,76.0,219.69,1.34,34.78,0.2,0.33
26.223858,100,14.108035,-1.0,5.0,26.22,0.17,83.0,479.75,2.96,39.8,0.05,0.26
16.625332,100,14.415005,0.49,3.0,16.63,0.21,79.0,524.21,7.9,24.65,0.29,0.22
21.567364,100,14.727786,0.64,4.0,21.57,0.19,81.0,499.67,9.37,17.65,0.27,0.29
47.3578,100,15.022748,0.93,1.0,47.36,0.15,85.0,267.11,4.89,33.11,0.15,0.3
51.133842,100,15.32968,0.87,4.0,51.13,0.16,84.0,201.59,8.03,23.71,0.16,0.28
32.502914,100,15.689764,0.78,2.0,32.5,0.18,82.0,384.73,8.33,21.35,0.24,0.29
52.091274,100,15.917348,0.77,0.0,52.09,0.13,87.0,252.57,9.66,18.18,0.38,0.35
22.969017,100,16.195318,0.74,2.0,22.97,0.26,74.0,338.92,9.85,17.71,0.34,0.22
33.36438,100,16.522372,-1.0,5.0,33.36,0.22,78.0,290.91,7.46,29.2,0.1,0.27
30.885494,100,16.819076,0.87,4.0,30.89,0.23,77.0,300.89,11.06,20.02,0.21,0.31
30.705214,100,17.176717,-1.0,5.0,30.71,0.2,80.0,366.82,7.87,24.95,0.27,0.28
11.94716,100,17.539009,0.56,0.0,11.95,0.25,75.0,507.86,9.34,23.21,0.22,0.34
39.961487,100,17.861681,0.86,1.0,39.96,0.22,78.0,206.42,10.06,18.42,0.33,0.34
