r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
36.937637,100,0.78197,0.68,3.0,36.94,0.18,82.0,363.59,4.36,29.2,0.24,0.0
30.27226,100,1.06063,0.8,2.0,30.27,0.23,77.0,342.44,10.01,21.41,0.15,0.26
46.43435,100,1.335518,0.75,3.0,46.43,0.15,85.0,435.49,8.07,25.45,0.08,0.26
33.583855,100,1.618403,0.62,2.0,33.58,0.2,80.0,472.72,7.06,31.32,0.13,0.26
31.874168,100,1.822078,0.5,1.0,31.87,0.18,82.0,482.79,10.83,17.13,0.28,0.27
35.104176,100,2.100085,0.76,4.0,35.1,0.21,79.0,338.68,6.98,24.38,0.25,0.19
17.042597,100,2.522493,0.62,0.0,17.04,0.29,71.0,495.54,6.98,24.79,0.21,0.26
37.265247,100,2.787314,-1.0,5.0,37.27,0.21,79.0,293.28,2.8,34.02,0.18,0.41
32.003223,100,3.016435,0.68,3.0,32.0,0.2,80.0,475.15,8.8,27.54,0.19,0.25
38.271202,100,3.24681,0.8,1.0,38.27,0.21,79.0,375.64,4.74,32.59,0.04,0.22
40.501556,100,3.645827,0.78,4.0,40.5,0.15,85.0,400.32,7.4,28.17,0.19,0.21
36.70562,100,3.909652,0.69,0.0,36.71,0.21,79.0,329.51,2.56,33.8,0.13,0.38
24.290024,100,4.12139,0.66,2.0,24.29,0.23,77.0,455.73,8.01,22.3,0.28,0.25
53.91508,100,4.3368,0.91,3.0,53.92,0.16,84.0,206.34,7.51,20.58,0.1,0.2
38.161896,100,4.531726,0.81,4.0,38.16,0.2,80.0,354.07,4.43,29.2,0.18,0.2
40.675797,100,4.768453,0.67,0.0,40.68,0.17,83.0,408.79,4.89,31.17,0.14,0.18
42.95868,100,5.053346,0.76,1.0,42.96,0.17,83.0,358.75,5.63,26.7,0.21,0.22
39.905514,100,5.402019,0.7,0.0,39.91,0.2,80.0,280.6,8.58,21.32,0.21,0.27
35.931793,100,5.729419,0.59,1.0,35.93,0.19,81.0,386.48,10.96,17.47,0.16,0.33
45.771206,100,5.917935,0.76,3.0,45.77,0.18,82.0,262.8,6.9,29.8,0.14,0.32
34.194252,100,6.11825,-1.0,5.0,34.19,0.2,80.0,397.14,13.1,12.32,0.17,0.18
33.770912,100,6.319573,0.66,1.0,33.77,0.22,78.0,318.85,10.2,21.65,0.19,0.19
25.332897,100,6.547558,0.66,2.0,25.33,0.24,76.0,388.8,14.34,11.89,0.29,0.19
38.969593,100,6.837429,-1.0,5.0,38.97,0.17,83.0,426.44,3.69,35.62,0.14,0.22
37.756126,100,7.123765,0.65,0.0,37.76,0.15,85.0,450.89,9.91,17.34,0.22,0.28
45.18162,100,7.42261,-1.0,5.0,45.18,0.19,81.0,166.37,10.96,19.7,0.16,0.27
33.38355,100,7.694703,0.65,2.0,33.38,0.22,78.0,399.61,1.6,39.51,0.18,0.29
45.21815,100,7.922828,0.85,4.0,45.22,0.18,82.0,289.71,6.78,21.95,0.15,0.26
36.793858,100,8.159981,0.62,2.0,36.79,0.18,82.0,455.86,8.64,27.23,0.2,0.2
25.606817,100,8.535396,0.64,0.0,25.61,0.22,78.0,394.84,10.04,17.75,0.36,0.22
31.472372,100,8.886299,0.59,3.0,31.47,0.24,76.0,384.36,8.03,25.97,0.15,0.35
47.45365,100,9.228865,0.73,3.0,47.45,0.13,87.0,346.99,12.53,13.85,0.26,0.34
43.43195,100,9.576555,-1.0,4.0,43.43,0.17,83.0,399.72,3.01,34.33,0.1,0.32
30.282988,100,9.892525,0.75,1.0,30.28,0.24,76.0,304.24,6.97,21.82,0.2,0.33
24.181484,100,10.132708,-1.0,4.0,24.18,0.24,76.0,400.86,7.54,26.22,0.27,0.3
37.927288,100,10.363589,-1.0,5.0,37.93,0.2,80.0,311.44,8.51,22.7,0.22,0.23
48.02524,100,10.619175,0.86,4.0,48.03,0.16,84.0,302.66,2.65,34.26,0.12,0.22
43.135124,100,10.823521,0.87,4.0,43.14,0.21,79.0,185.67,12.1,17.71,0.14,0.25
28.03337,100,11.101122,0.72,1.0,28.03,0.27,73.0,323.77,5.37,29.8,0.1,0.19
28.445377,100,11.467914,0.82,1.0,28.45,0.25,75.0,385.6,8.95,24.51,0.13,0.26
38.598797,100,11.887086,0.66,1.0,38.6,0.17,83.0,329.96,9.84,22.29,0.31,0.35
8.416268,100,12.201992,-1.0,5.0,8.42,0.31,69.0,417.3,9.48,20.94,0.41,0.4
35.51999,100,12.592859,0.82,4.0,35.52,0.24,76.0,223.25,1.33,34.78,0.2,0.29
34.39708,100,12.939897,-1.0,5.0,34.4,0.18,82.0,480.76,2.98,40.1,0.05,0.37
24.274488,100,13.327073,0.6,3.0,24.27,0.21,79.0,522.46,8.05,24.58,0.29,0.33
28.63584,100,13.672065,0.68,4.0,28.64,0.19,81.0,499.67,9.37,17.65,0.27,0.37
49.81935,100,14.033639,0.89,1.0,49.82,0.15,85.0,266.91,4.83,33.24,0.14,0.33
52.781105,100,14.390128,0.86,4.0,52.78,0.16,84.0,209.66,7.94,23.58,0.15,0.35
36.809223,100,14.776653,0.77,2.0,36.81,0.18,82.0,383.63,8.23,21.5,0.23,0.34
45.645054,100,15.240516,0.7,0.0,45.65,0.14,86.0,251.87,9.56,18.34,0.37,0.37
23.333202,100,15.734909,0.7,2.0,23.33,0.26,74.0,338.92,9.85,17.71,0.34,0.44
37.15799,100,16.245846,-1.0,5.0,37.16,0.23,77.0,291.64,7.25,29.53,0.1,0.47
32.283546,100,16.710118,0.83,4.0,32.28,0.23,77.0,303.47,11.06,19.99,0.21,0.49
31.645203,100,17.126762,-1.0,5.0,31.65,0.2,80.0,366.82,7.87,24.95,0.27,0.44
20.570246,100,17.494745,0.66,0.0,20.57,0.25,75.0,482.92,9.54,22.68,0.25,0.39
35.23915,100,17.825155,0.77,1.0,35.24,0.22,78.0,202.08,9.99,18.24,0.32,0.35
41.799088,100,18.105575,-1.0,5.0,41.8,0.17,83.0,296.31,10.08,21.3,0.25,0.32
33.46181,100,18.349115,0.6,3.0,33.46,0.22,78.0,421.65,3.35,41.6,0.13,0.26
34.46533,100,18.660176,-1.0,5.0,34.47,0.18,82.0,461.36,3.03,30.37,0.22,0.23
31.579054,100,18.987524,0.75,0.0,31.58,0.23,77.0,272.28,11.94,17.46,0.28,0.29
35.58132,100,19.463185,0.84,2.0,35.58,0.22,78.0,287.82,6.21,26.62,0.19,0.31
30.979782,100,19.774758,-1.0,5.0,30.98,0.24,76.0,296.33,4.65,32.22,0.21,0.46
32.130844,100,20.166641,0.64,0.0,32.13,0.2,80.0,362.51,9.58,16.5,0.23,0.29
29.185211,100,20.48668,0.78,1.0,29.19,0.22,78.0,229.54,5.14,28.32,0.35,0.37
34.021183,100,20.821847,0.66,2.0,34.02,0.18,82.0,550.61,8.01,27.04,0.13,0.29
35.679485,100,21.194295,0.73,2.0,35.68,0.2,80.0,391.86,5.59,32.73,0.21,0.31
32.23938,100,21.439489,0.66,0.0,32.24,0.2,80.0,295.83,1.54,34.34,0.36,0.36
37.52686,100,21.827388,0.61,2.0,37.53,0.15,85.0,477.96,4.29,30.05,0.25,0.23
29.764227,100,22.138268,-1.0,4.0,29.76,0.22,78.0,498.09,5.12,29.58,0.09,0.37
32.459965,100,22.483745,0.74,2.0,32.46,0.2,80.0,373.24,9.63,20.49,0.29,0.3
45.983826,100,22.821615,0.69,0.0,45.98,0.14,86.0,301.06,10.32,17.94,0.19,0.33
44.978683,100,23.187249,0.73,3.0,44.98,0.15,85.0,293.2,4.28,31.44,0.18,0.32
25.430073,100,23.580718,0.64,2.0,25.43,0.24,76.0,303.85,6.74,20.62,0.29,0.35
41.07327,100,23.970994,-1.0,5.0,41.07,0.16,84.0,322.0,2.42,32.96,0.29,0.37
39.728413,100,24.406559,0.63,0.0,39.73,0.14,86.0,443.94,9.45,20.42,0.3,0.38
34.99941,100,24.7249,0.8,1.0,35.0,0.18,82.0,403.13,7.1,27.73,0.21,0.42
20.614391,100,25.112257,0.75,0.0,20.61,0.29,71.0,379.81,6.1,23.94,0.2,0.29
40.20837,100,25.548605,0.7,1.0,40.21,0.19,81.0,278.84,7.67,22.87,0.18,0.37
39.656876,100,25.791861,-1.0,5.0,39.66,0.18,82.0,272.25,4.23,32.51,0.29,0.42
35.815063,100,26.006344,0.73,2.0,35.82,0.18,82.0,466.75,5.53,27.86,0.13,0.23
37.174877,100,26.266192,0.76,1.0,37.17,0.17,83.0,322.68,3.03,33.9,0.33,0.2
30.001522,100,26.473359,0.63,3.0,30.0,0.19,81.0,489.25,4.36,25.45,0.27,0.25
30.200478,100,26.785775,0.79,0.0,30.2,0.22,78.0,299.32,8.66,26.18,0.26,0.2
32.7851,100,27.212367,0.81,1.0,32.79,0.2,80.0,461.06,4.12,30.97,0.2,0.29
40.934486,100,27.628706,0.73,1.0,40.93,0.16,84.0,260.1,8.09,21.14,0.34,0.41
30.810741,100,28.066045,-1.0,5.0,30.81,0.17,83.0,487.74,7.42,27.48,0.21,0.4
39.520905,100,28.517389,-1.0,5.0,39.52,0.21,79.0,355.81,1.59,37.89,0.16,0.42
29.069384,100,28.88849,-1.0,5.0,29.07,0.24,76.0,340.62,4.73,30.3,0.21,0.43
48.85388,100,29.23385,0.78,4.0,48.85,0.12,88.0,430.15,6.23,26.21,0.14,0.35
35.448845,100,29.707696,0.77,0.0,35.45,0.2,80.0,362.49,4.71,26.85,0.2,0.33
52.96399,100,30.051108,0.67,3.0,52.96,0.13,87.0,289.78,4.97,30.68,0.16,0.46
32.901093,100,30.36192,0.57,3.0,32.9,0.21,79.0,413.06,13.34,14.09,0.23,0.32
33.942726,100,30.655462,0.78,3.0,33.94,0.2,80.0,471.68,13.0,16.98,0.1,0.3
41.80781,100,31.067806,0.65,0.0,41.81,0.15,85.0,414.69,5.6,23.69,0.24,0.28
29.24683,100,31.414651,0.71,2.0,29.25,0.23,77.0,392.56,5.9,22.31,0.3,0.4
42.577793,100,31.786309,0.78,4.0,42.58,0.18,82.0,335.24,4.8,28.48,0.18,0.33
63.07638,100,32.155514,0.87,4.0,63.08,0.29,71.0,259.48,1.0,25.48,0.12,0.35
58.734028,100,32.5098,0.73,1.0,58.73,0.08,92.0,319.19,4.29,28.62,0.19,0.35
21.676434,100,32.844625,-1.0,5.0,21.68,0.26,74.0,398.82,2.71,41.37,0.28,0.34
30.408539,100,33.177778,0.78,3.0,30.41,0.25,75.0,297.5,10.25,19.4,0.19,0.32
30.971212,100,33.849537,0.86,2.0,30.97,0.25,75.0,196.96,2.98,32.56,0.23,0.31
24.24618,100,34.414461,0.62,2.0,24.25,0.21,79.0,446.27,13.39,13.87,0.39,0.65
27.711021,100,35.009,-1.0,5.0,27.71,0.21,79.0,469.89,11.41,16.7,0.29,0.53
34.13611,100,35.677722,0.68,1.0,34.14,0.19,81.0,378.07,5.51,24.27,0.2,0.56
29.600327,100,36.359215,0.83,2.0,29.6,0.21,79.0,468.92,11.39,15.75,0.18,0.62
43.089005,100,36.999153,0.66,2.0,43.09,0.11,89.0,505.68,10.97,19.54,0.23,0.63
50.529766,100,37.70465,0.79,2.0,50.53,0.12,88.0,238.79,9.42,25.96,0.33,0.6
47.169975,100,38.327487,0.8,1.0,47.17,0.18,82.0,238.79,1.77,33.7,0.23,0.65
32.479523,100,38.789733,0.75,0.0,32.48,0.18,82.0,468.41,5.83,23.09,0.21,0.59
35.670685,100,39.341833,0.59,1.0,35.67,0.17,83.0,426.97,4.84,26.4,0.31,0.43
49.556168,100,40.030221,0.77,3.0,49.56,0.11,89.0,275.8,12.95,14.0,0.32,0.52
33.05897,100,40.573487,0.63,2.0,33.06,0.17,83.0,585.09,10.72,18.92,0.18,0.64
39.179596,100,41.035658,0.71,1.0,39.18,0.15,85.0,355.26,6.4,21.79,0.33,0.49
37.72447,100,41.453649,0.79,3.0,37.72,0.18,82.0,377.99,9.02,22.5,0.19,0.44
35.106487,100,42.022274,-1.0,5.0,35.11,0.18,82.0,388.06,8.5,25.31,0.25,0.39
34.82494,100,42.506469,0.65,3.0,34.82,0.17,83.0,406.06,8.28,27.57,0.31,0.54
39.489407,100,43.026833,0.83,0.0,39.49,0.18,82.0,430.16,5.54,26.31,0.13,0.44
32.55514,100,43.594806,-1.0,5.0,32.56,0.2,80.0,444.02,8.91,23.25,0.24,0.48
31.577608,100,44.023697,0.62,0.0,31.58,0.18,82.0,484.62,8.03,26.47,0.19,0.53
36.493988,100,44.573483,-1.0,5.0,36.49,0.16,84.0,427.2,3.52,39.02,0.21,0.4
33.37645,100,45.108097,0.74,3.0,33.38,0.18,82.0,506.97,5.89,22.81,0.18,0.53
29.47307,100,45.708863,0.74,2.0,29.47,0.23,77.0,415.43,1.44,29.5,0.27,0.5
26.988592,100,46.182094,-1.0,5.0,26.99,0.24,76.0,436.75,9.13,23.79,0.19,0.56
39.996094,100,46.67293,0.72,2.0,40.0,0.19,81.0,271.5,10.51,19.31,0.18,0.44
27.812923,100,47.268597,0.66,1.0,27.81,0.21,79.0,494.48,8.05,25.54,0.2,0.45
33.363857,100,47.802115,0.8,4.0,33.36,0.24,76.0,198.6,12.86,15.53,0.27,0.56
35.534863,100,48.297099,-1.0,4.0,35.53,0.2,80.0,366.68,8.8,22.18,0.27,0.5
32.09613,100,48.726106,0.7,0.0,32.1,0.22,78.0,253.4,4.45,28.68,0.2,0.46
23.74339,100,49.170696,0.65,0.0,23.74,0.22,78.0,481.26,6.03,24.0,0.28,0.41
30.029222,100,49.549178,0.59,0.0,30.03,0.2,80.0,450.11,6.38,25.94,0.25,0.41
41.141514,100,50.0069,-1.0,5.0,41.14,0.2,80.0,245.49,3.68,29.11,0.19,0.35
28.296959,100,50.417375,0.73,1.0,28.3,0.26,74.0,395.17,6.96,23.62,0.08,0.42
23.042015,100,50.837711,-1.0,5.0,23.04,0.28,72.0,315.73,8.77,19.55,0.25,0.39
34.43278,100,51.197708,0.72,2.0,34.43,0.2,80.0,364.5,1.78,30.56,0.15,0.4
30.27108,100,51.534206,0.69,2.0,30.27,0.2,80.0,436.24,9.23,20.01,0.27,0.33
46.031227,100,51.911253,0.74,2.0,46.03,0.16,84.0,264.29,4.63,28.75,0.28,0.31
36.749302,100,52.261173,0.81,4.0,36.75,0.19,81.0,403.14,3.63,34.88,0.16,0.35
43.557713,100,52.640787,0.74,3.0,43.56,0.15,85.0,367.04,11.84,20.17,0.22,0.33
50.97968,100,53.105483,0.75,0.0,50.98,0.16,84.0,247.83,2.77,41.3,0.08,0.35
34.003998,100,53.51208,0.72,4.0,34.0,0.16,84.0,490.79,13.43,14.16,0.19,0.44
