r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
41.115704,100,0.845997,0.53,0.0,41.12,0.21,79.0,21.0,45.0,14.0,12.0,8.0,327.96,4.21,20.26,0.25,0.0
11.335876,100,1.121522,0.18,5.0,11.34,0.22,78.0,22.0,46.0,12.0,8.0,12.0,355.21,9.59,16.37,0.24,0.26
27.004433,100,1.374736,0.27,4.0,27.0,0.14,86.0,14.0,50.0,9.0,19.0,8.0,442.1,8.85,19.65,0.17,0.26
31.302845,100,1.58989,0.0,1.0,31.3,0.2,80.0,20.0,46.0,11.0,6.0,17.0,523.74,6.38,22.14,0.25,0.24
20.93048,100,1.810779,0.18,5.0,20.93,0.16,84.0,16.0,48.0,11.0,13.0,12.0,565.76,9.41,12.24,0.22,0.2
35.921906,100,2.046923,0.4,5.0,35.92,0.18,82.0,18.0,46.0,15.0,10.0,11.0,323.63,6.14,17.55,0.17,0.21
36.881264,100,2.419983,0.19,4.0,36.88,0.18,82.0,18.0,53.0,7.0,10.0,12.0,471.83,5.96,23.02,0.08,0.22
56.619995,100,2.919046,1.0,3.0,56.62,0.19,81.0,19.0,35.0,12.0,20.0,14.0,231.86,2.0,22.17,0.14,0.36
24.449507,100,3.29601,-1.0,6.0,24.45,0.17,83.0,17.0,50.0,11.0,11.0,11.0,532.76,8.51,22.07,0.23,0.48
48.648563,100,3.784978,-1.0,7.0,48.65,0.16,84.0,16.0,55.0,7.0,9.0,13.0,411.76,4.46,22.88,0.23,0.36
29.565704,100,4.010723,0.37,4.0,29.57,0.13,87.0,13.0,46.0,13.0,16.0,12.0,316.14,8.66,18.95,0.25,0.46
34.961887,100,4.207123,-1.0,7.0,34.96,0.29,71.0,29.0,46.0,7.0,12.0,6.0,358.77,2.49,28.43,0.08,0.21
25.455235,100,4.414118,0.2,4.0,25.46,0.17,83.0,17.0,47.0,12.0,15.0,9.0,464.42,8.33,14.77,0.28,0.18
26.477776,100,4.615974,1.0,0.0,26.48,0.18,82.0,18.0,52.0,14.0,9.0,7.0,307.57,7.86,12.95,0.2,0.19
42.53412,100,4.837013,1.0,2.0,42.53,0.2,80.0,20.0,45.0,16.0,12.0,7.0,347.1,4.27,19.08,0.22,0.19
42.058086,100,5.039671,0.53,1.0,42.06,0.19,81.0,19.0,48.0,10.0,14.0,9.0,312.13,4.69,22.59,0.25,0.21
28.320614,100,5.251006,1.0,6.0,28.32,0.25,75.0,25.0,48.0,9.0,10.0,8.0,366.91,5.34,18.62,0.13,0.19
21.194921,100,5.466271,1.0,3.0,21.19,0.2,80.0,20.0,54.0,11.0,7.0,8.0,453.15,8.28,15.45,0.17,0.2
-6.199996,100,5.661734,0.0,4.0,-6.2,0.27,73.0,27.0,40.0,17.0,7.0,9.0,478.45,11.73,12.43,0.21,0.2
38.531425,100,5.904483,0.0,2.0,38.53,0.13,87.0,13.0,44.0,19.0,14.0,10.0,202.14,7.12,20.84,0.24,0.18
0.666666,100,6.111803,0.53,2.0,0.67,0.18,82.0,18.0,52.0,9.0,11.0,10.0,498.9,12.59,11.05,0.16,0.22
12.709843,100,6.342973,0.93,1.0,12.71,0.2,80.0,20.0,49.0,10.0,11.0,10.0,333.29,9.87,15.68,0.1,0.19
