r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
35.73702,100,3.930603,0.75,0.0,35.74,0.21,79.0,21.0,45.0,14.0,12.0,8.0,327.96,4.21,20.26,0.25,0.0
34.090973,100,4.305418,0.76,5.0,34.09,0.22,78.0,22.0,46.0,12.0,8.0,12.0,355.21,9.59,16.37,0.24,0.54
49.902912,100,4.883015,0.83,4.0,49.9,0.14,86.0,14.0,50.0,9.0,19.0,8.0,442.1,8.85,19.65,0.17,0.33
38.72053,100,5.189666,0.75,1.0,38.72,0.2,80.0,20.0,46.0,11.0,6.0,17.0,523.74,6.38,22.14,0.25,0.55
44.91787,100,5.599247,0.78,5.0,44.92,0.16,84.0,16.0,48.0,11.0,13.0,12.0,565.76,9.41,12.24,0.22,0.29
47.689114,100,5.992397,0.83,5.0,47.69,0.18,82.0,18.0,46.0,15.0,10.0,11.0,323.63,6.14,17.55,0.17,0.39
49.26589,100,6.660595,0.92,4.0,49.27,0.18,82.0,18.0,53.0,7.0,10.0,12.0,471.83,5.96,23.02,0.08,0.37
49.984646,100,7.326406,0.86,3.0,49.98,0.19,81.0,19.0,35.0,12.0,20.0,14.0,231.86,2.0,22.17,0.14,0.64
44.368248,100,8.075112,-1.0,6.0,44.37,0.17,83.0,17.0,50.0,11.0,11.0,11.0,532.76,8.51,22.07,0.23,0.63
40.879787,100,8.531381,-1.0,7.0,40.88,0.16,84.0,16.0,55.0,7.0,9.0,13.0,411.76,4.46,22.88,0.23,0.7
44.685753,100,8.808359,0.75,4.0,44.69,0.13,87.0,13.0,46.0,13.0,16.0,12.0,316.14,8.66,18.95,0.25,0.43
30.103949,100,9.067918,-1.0,7.0,30.1,0.29,71.0,29.0,46.0,7.0,12.0,6.0,358.77,2.49,28.43,0.08,0.26
43.40705,100,9.27217,0.72,4.0,43.41,0.17,83.0,17.0,47.0,12.0,15.0,9.0,464.42,8.33,14.77,0.28,0.24
45.189724,100,9.673132,0.8,0.0,45.19,0.18,82.0,18.0,52.0,14.0,9.0,7.0,307.57,7.86,12.95,0.2,0.19
41.083622,100,10.276359,0.78,2.0,41.08,0.2,80.0,20.0,45.0,16.0,12.0,7.0,347.1,4.27,19.08,0.22,0.38
38.55957,100,10.795773,0.75,1.0,38.56,0.19,81.0,19.0,48.0,10.0,14.0,9.0,312.13,4.69,22.59,0.25,0.58
29.408787,100,11.274436,0.87,6.0,29.41,0.25,75.0,25.0,48.0,9.0,10.0,8.0,366.91,5.34,18.62,0.13,0.49
