r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
32.14463,100,0.629087,0.74,0.0,32.14,0.21,79.0,21.0,45.0,14.0,12.0,8.0,327.96,4.21,20.26,0.25,0.0
28.34377,100,0.801768,0.7,5.0,28.34,0.22,78.0,22.0,46.0,12.0,8.0,12.0,355.21,9.59,16.37,0.24,0.19
34.027393,100,0.979927,0.67,4.0,34.03,0.14,86.0,14.0,50.0,9.0,19.0,8.0,442.1,8.85,19.65,0.17,0.16
18.139194,100,1.145005,0.31,1.0,18.14,0.2,80.0,20.0,46.0,11.0,6.0,17.0,523.74,6.38,22.14,0.25,0.17
20.512539,100,1.328332,0.58,5.0,20.51,0.16,84.0,16.0,48.0,11.0,13.0,12.0,565.76,9.41,12.24,0.22,0.16
37.51817,100,1.487099,0.68,5.0,37.52,0.18,82.0,18.0,46.0,15.0,10.0,11.0,323.63,6.14,17.55,0.17,0.17
25.353266,100,1.667604,0.71,4.0,25.35,0.18,82.0,18.0,53.0,7.0,10.0,12.0,471.83,5.96,23.02,0.08,0.15
43.281998,100,1.87287,0.87,3.0,43.28,0.19,81.0,19.0,35.0,12.0,20.0,14.0,231.86,2.0,22.17,0.14,0.17
21.819645,100,2.076221,-1.0,6.0,21.82,0.17,83.0,17.0,50.0,11.0,11.0,11.0,532.76,8.51,22.07,0.23,0.2
33.46193,100,2.273523,-1.0,7.0,33.46,0.16,84.0,16.0,55.0,7.0,9.0,13.0,411.76,4.46,22.88,0.23,0.19
46.555386,100,2.500934,0.7,4.0,46.56,0.13,87.0,13.0,46.0,13.0,16.0,12.0,316.14,8.66,18.95,0.25,0.19
16.572948,100,2.720894,-1.0,7.0,16.57,0.29,71.0,29.0,46.0,7.0,12.0,6.0,358.77,2.49,28.43,0.08,0.22
27.497824,100,2.942965,0.7,4.0,27.5,0.17,83.0,17.0,47.0,12.0,15.0,9.0,464.42,8.33,14.77,0.28,0.21
